owner,status,Submit Time,serial number,dlurl,hook,gen caption,IG caption,TT caption,CTA,Notes,Views,Likes,Comments,Shares
matt,published,"June 11, 2025 at 8:30 PM",eirPQqka,https://drive.google.com/uc?id=1hkR-DtY4peRSeIT-qodHLzGOuBQ0b38h&export=download,doing wholesaling doesn't just mean opening doors in real estate...,,"Wholesaling isn’t just an easy way to get into real estate... 

It’s a fast-track apprenticeship that hands you lifelong deal-making skills..

Not to mention immediate cash flow and a launchpad to real wealth in the most historically stable asset class on the planet.

Time to lock in. 

Comment “REI” and I’ll send you free training on how to close your first wholesale deal in the next 30 days.",It's immediate cash flow and a launchpad to real wealth in the most historically stable asset class on the planet. Lock in.,REI,,,,,
matt,published,"June 11, 2025 at 8:33 PM",9orOQ8ja,https://drive.google.com/uc?id=1iheju7gufkslMchisPdqJM8LvdVmWlsR&export=download,"You can't spell ""million"" without a couple Ls. Keep pushing.",,"In wholesaling losses are just paid tuition.

1. Embrace the cringe! every fumbled call is a rep in your negotiation gym.

2. Follow the ugly-house formula: 
15 distressed leads → 10 convos → 1 signed contract. 
Do that 8-10 times and you're already ahead.

3. Autopsy your mistakes fast! after every blown deal ask yourself “which step broke?” then tighten that screw. Repeat until the machine sings.

Nobody remembers how goofy you sound in the beginning.

But avoid sound goofy in the first place lol.. comment “sellers” and I’ll show you how I keep my day busy with homeowners to talk to",Nobody remembers how goofy you sound in the beginning.,Sellers,,,,,
matt,published,"June 11, 2025 at 8:37 PM",i0i-LixI,https://drive.google.com/uc?id=1seM2SkpQyIpOZ5YedDv_L7jWG9g1ZEe-&export=download,"Both woke up tired, only one got up",,"My grandpa told me a story that changed how I see work..

He said there are two wolves living inside each of us.

One wolf is lazy, angry, and full of excuses. The wolf that doesn’t.

The other is focused, disciplined, and driven to act. The wolf that does.

“Every morning these two wolves wake up and start fighting.”

I was confused.

“But how can the wolf that does be the good one if you said it fights?”

He smiled.

“Neither wolf is purely good or bad. They’re just parts of us. One wants comfort, the other wants progress. Which one wins?”

fuck did I know? I was like 9. 

“I don’t know..” I said

He leaned closer and whispered the words I’ll never forget:

“The one you feed.”

I hope you remember this like I did. 

Because like it or not, everyday  those wolves fight.. 

and whether you realize it or not, you choose..

every morning, noon and night.",Stop scrolling and get started,N/A,,,,,
matt,published,"June 13, 2025 at 2:09 PM",IZxE-2jC,https://drive.google.com/uc?id=1vy03Vc5t2g4UE1eCJllfoF50akz0UGmV&export=download,"Buy a $50,000 truck, drive it around looking for crap a** houses, get one under contract, sell the contract for $1 million, do this 3 times a week, thats $156 MIllion a year",,game is game,game is game,,,,,,
matt,published,"July 25, 2025 at 12:17 PM",Avh5OAe6,https://drive.google.com/uc?id=16OKXjl9eW_BNAqfSWJtS-k2-eqRqYDFW&export=download,6fig airbnb dream,"so everyone wants to do airbnb right. i get it. the dream of owning beautiful properties all over the country. passive income rolling in while you sleep. six figures just from having good taste in throw pillows.

but heres what nobody posts about. the 3am calls because the wifi went out. driving two hours because someone locked themselves out. competing with every other person who watched the same youtube video about easy money.

you know what business nobody wants to talk about at parties. wholesaling. sounds boring right. it is.

foreclosures. even worse. nothing instagram worthy about helping families facing the worst moment of their lives.

but thats exactly why it works.

while everyone else is fighting over the same vacation rental market you could be the person who shows up when people need help most. when theyre drowning in bills. when divorce papers just got served. when medical debt is crushing them.

these arent sexy situations. theyre real life.

and real life is where real money gets made.

that family facing foreclosure. they need someone who actually understands the system. someone who can move fast. someone who gives a damn.

the elderly couple who cant maintain their home anymore. they dont need another person trying to lowball them. they need someone who sees them as humans.

this is the work nobody wants to do. its not glamorous. you wont get likes for it.

but you will sleep better. not because of thread count. because you actually helped someone avoid bankruptcy. kept someone from losing everything.

and yes the money is better too. way better.

airbnb is what everyone thinks they want to do. wholesaling and foreclosures are what actually change lives.

yours and theirs.

the real question is what kind of business do you want to build. the one that looks good in your bio. or the one that...","the dream of owning beautiful properties all over the country

passive income rolling in while you sleep. six figures just from having good taste in throw pillows..

but heres what nobody posts about.

the 3am calls because the wifi went out.

driving two hours because someone locked themselves out. 

you know what business nobody wants to talk about at parties?

wholesaling. sounds boring right? it is!

foreclosures? even worse.

nothing instagram worthy about helping families facing the worst moment of their lives.

but thats exactly why it works.

while everyone else is fighting over the same vacation rental market you could be the person who shows up when people need help most.

when theyre drowning in bills. when divorce papers just got served. when medical debt is crushing them.

these arent sexy situations. theyre real life.

and real life is where real money gets made.

that family facing foreclosure. they need someone who actually understands the system. someone who can move fast. someone, for just a moment, to really give a fuck.

the elderly couple who cant maintain their home anymore? they dont need another person trying to lowball them. they need someone who sees them as humans.

this is the work nobody wants to do. its not glamorous. you wont get likes for it.

but you will sleep better.

not because of thread count.

because you actually helped someone avoid bankruptcy. kept someone from losing everything.

and yes the money is better too.

way better.

airbnb is what everyone thinks they want to do. 

wholesaling and foreclosures are what actually change lives.

yours AND theirs.",airbnb is cooked,n/a,,,,,
zavala,published,"July 25, 2025 at 12:34 PM",lp-b289M,https://drive.google.com/uc?id=1eYsTtK-5DlN40L_jRG4T3kC8pO1DWonz&export=download,now that I have your attention,"picture this. youre 25 and everyone around you is talking about buying rental properties. your buddy jake just closed on a duplex. put 20% down. now hes negative cash flow every month because the tenants AC broke. meanwhile your cousin sarah is on her third year of analyzing deals. hasnt bought a single one yet. shes read every book. taken every course. still paralyzed.

now picture me at 25. broke. no credit. no rich uncle. but i had this crazy idea. what if i could get into real estate without using any of my own money. what if i could get paid to learn the business. sounds too good to be true right.

turns out theres this thing called wholesaling. you find deals. you connect sellers with buyers. you get paid in the middle. no loans. no credit checks. no waiting.

my first deal was a disaster. spent three months chasing a seller who ghosted me. second deal fell through at closing. third time though. i made 8k in two weeks. just from a few phone calls and a contract.

seven years later ive done over 400 deals. some small. some huge. but every single one taught me something. every seller showed me their pain points. every buyer showed me what they really want. every neighborhood showed me where the opportunities hide.

and heres the thing nobody tells you. wholesaling isnt just about quick cash. its about building a network. learning the market. understanding renovation costs. seeing what makes a good rental before you ever buy one.

think about it. when you finally buy that first rental youll already know which contractors are reliable. which areas have the best tenant demand. what repairs actually matter. youll have cash in the bank from your wholesale deals. youll have lenders calling you because they know youre serious.

i watch people go straight into rentals and struggle. they bought in the wrong area. paid too much. hired the wrong contractor. meanwhile the wholesalers who transition to rentals. they crush it. they know the game inside out.

im not saying its easy. nothing worth doing ever is. but its simple. find motivated sellers. match them with cash buyers. collect your fee. repeat. no debt. no waiting years. just action and results.

and honestly the best part isnt even the money. its the confidence. knowing you can create opportunity from nothing. knowing you dont need perfect credit or rich parents. just hustle and the willingness to pick up the phone.

so yeah you could go the traditional route. save for years. beg banks for loans. stress about every repair. or you could start wholesaling next week. make your first deal in 30 days. build your rental empire with house money.

the choice is yours but let me tell you. seven years and 400 deals later. i know which path id choose again...","you're 25 and thinking about buying rentals?

your buddy just closed on a duplex. put 20% down. now he's negative cash flow every month because the tenant's AC broke.

meanwhile your side piece is in year three of analyzing deals. hasn't bought a single one. read every book. took every course. still paralyzed.

now picture me at 25. broke. no credit. no rich uncle. but i had this idea...

what if i could get into real estate without using my own money?
what if i could get paid to learn?

turns out there's this thing called wholesaling. you find deals. connect sellers with buyers. get paid in the middle. no loans. no credit. no waiting.

my first deal was a disaster. three months chasing a seller who ghosted me. second fell through at closing. third? made 30k in two weeks. just a few calls and a contract.

fast forward: 400+ deals later. some small. some huge. every one taught me something.

here’s what nobody tells you:

wholesaling isn't just about quick cash.

it's about building a network, learning the market, understanding reno costs—seeing what makes a good rental before you ever buy one.

think about it: when you buy that first rental, you’ll already know which contractors are solid. which areas have tenant demand. what repairs matter. you'll have cash from wholesaling. lenders will call YOU.

i watch people go straight into rentals and struggle. wrong area. paid too much. hired the wrong guy.

wholesalers who switch to rentals? they crush it. they know the game.

i'm not saying it’s easy. nothing worth doing is.

but it’s simple.

find motivated sellers. match with cash buyers. collect your fee. repeat. no debt. no waiting years. just action.

and honestly, the best part isn't the money. it's the confidence.

knowing you can create opportunity from nothing. you don’t need perfect credit or rich parents. just hustle and a phone.

so yeah, you could save for years. beg banks. stress every repair 👀

or you could start wholesaling next week. make your first deal in 30 days. build your rental empire with house money.

choice is yours. but 7 years and 400 deals later?

i know which path i’d choose again..",the best part isnt even the money. its the confidence. knowing you can create opportunity from nothing.,sellers,,,,,
zavala,published,"July 25, 2025 at 12:42 PM",R9xa8pa7,https://drive.google.com/uc?id=1CLAkJZpl9Sed2pcsbJW5YBvyzC7biywd&export=download,babe are you really gonna buy that,"I'm driving down the street minding my own business when I see it

this house that looks like its been forgotten by time itself

paint peeling off like dead skin

gutters hanging loose

windows so dirty you cant see through them

and something inside me just stops

I pull over

my wife looks at me like I've lost my mind

I walk up to the front door and knock

takes forever but finally this old guy opens up

sweetest smile you ever seen

like the world hasn't touched him at all

we get to talking and he invites me in

place is exactly what you'd expect from the outside

maybe worse

but this man is just happy to have company

tells me about his late wife

how she used to keep everything perfect

been five years since she passed

he just couldn't keep up anymore

we walk out back and I swear to god

the grass is taller than me

I'm six feet tall

he had no idea

literally had not been in his backyard in years

just stopped going out there when she died

too many memories in that garden she loved

forty five minutes we talk

about everything and nothing

his kids who live across the country

the neighborhood when it was new

how he met his wife at a dance in 1962

and then I make him an offer

right there in his kitchen with the peeling linoleum

his eyes light up like Christmas morning

not because of the money

but because someone saw him

really saw him

not just another old man in a broken down house

but a person with a whole life behind those walls

he shakes my hand with both of his

tells me this is exactly what he needed

a fresh start

somewhere smaller

closer to his daughter

no more trying to maintain what he couldn't

and for me its an opportunity

sure

but its more than that

its a reminder that every house has a story

every person behind those doors has lived a whole life

we shake on it right there

no lawyers yet

no contracts

just two people who found what they needed in that moment

I walk back to the car and my wife is sitting there

arms crossed

that look on her face

and she says it

the words that still echo in my head

babe are you really gonna buy that ugly ass house

and before I can answer she sees my face

sees something shifted in me

because sometimes the ugliest houses hide the most beautiful stories

and sometimes a business deal becomes something else entirely

but what she doesn't know yet

what I haven't told her

is what I found in the basement when he showed me around","I'm driving down the street minding my own business when I see..

a house that looks forgotten by time.

paint peeling like dead skin.
gutters hanging.
windows too dirty to see through.

and something in me just stops.

I pull over.

my wife looks at me like ?????

I walk up and knock.

5 minutes later, an older gentleman opens the door.
sweetest smile you've ever seen.. like the world never broke him.

we talk. he invites me in.

inside? exactly what you'd expect. maybe worse.

but he’s just happy to have company.

tells me about his late wife, how she kept everything perfect.
been five years since she passed and he couldn’t keep up.

we walk out back.

grass taller than me... and I'm 6ft tall

he hadn’t stepped out there in years.
too many memories in the garden they built together.

we talk for 35 minutes.

his kids across the country.
the neighborhood back when it was new.
how he met his wife at a dance in ‘62.

and then, right there in the kitchen with peeling linoleum, I make him an offer.

his eyes light up like Christmas.

not because of the money..
but because someone really took the time to see him.

not just another old man in a broken house.
but a person. a story. a life.

he shakes my hand with both of his.
says this is exactly what he needed.

a fresh start.
somewhere smaller.
closer to his daughter.
no more trying to maintain what he can’t.

and for me? yeah, it’s a deal.

but more than that, it’s become a reminder that I still carry.

every house has a story.
every person behind those doors has lived a whole life.

we shake on it. no lawyers. no overdrawn process.
just two people who found what they needed.

I walk back to the car.

my wife’s in the passenger seat, gives me that look married men know all too well

""babe are you really gonna buy that ugly ass house?""

before I can answer, she sees my face.
sees something’s shifted.

because sometimes the ugliest houses hide the most beautiful stories.

and sometimes a business deal becomes something else entirely.

but what she doesn't know yet..
what I haven't told her..

is what I found in the basement when he showed me around.",yes babe in fact I am,n/a,,,,,
zavala,published,"July 25, 2025 at 1:10 PM",0TnvR8i5,https://drive.google.com/uc?id=1yXcquz3TvcJBkuzr4r6vY1zciRzs2Loh&export=download,workin 9-5,so i found this lead for zero dollars on auction.com right. ten minutes of scrolling thats it. picked up the phone and called the seller. we talked for twenty five minutes. just two people having a real conversation about their property. signed the contract the very next day. no back and forth no games no drama. closed the whole thing in twenty two days flat. walked away with forty three thousand four hundred fifty dollars net profit. look i know what youre thinking. sounds too good to be true right. but heres the thing. this isnt luck. this isnt magic. its a system. a way of seeing opportunities that most people walk right past. think about it. how many properties do you scroll past every single day. how many auction listings do you ignore because you assume someone else already grabbed the good ones. or maybe you think you need tons of cash to get started. or years of experience. or some special connection. wrong wrong wrong. what you need is to understand how this actually works. the real mechanics behind finding these deals. because once you see it you literally cannot unsee it. it becomes like wearing glasses for the first time. suddenly everything is crystal clear. you start noticing opportunities everywhere. at gas stations. driving through neighborhoods. scrolling through your phone at lunch. twenty five minute phone calls turn into five figure profits. but only if you know what to say. only if you understand what sellers actually want. only if you can spot the difference between a dead end and a goldmine. this particular deal was sitting there for anyone to grab. literally anyone could have called. but they didnt. you know why. because they dont know what i know. they havent trained their brain to spot these patterns. they havent learned the language of opportunity. forty three thousand dollars from one phone call. one conversation. one person willing to pick up the phone and actually talk to another human being. no fancy tricks. no complicated strategies. just understanding value where others see problems. knowing how to solve those problems. and having the guts to actually make the call. this changes how you think about money forever. it rewires your brain. you stop thinking in terms of hourly wages and start thinking in terms of value creation. you stop waiting for permission and start taking action. you stop...,"I found this lead in ten minutes and when I called.

for 25m it was just two people having a real convo

signed the contract the next day.

no games. no drama. no back and forth.

closed in 22 days.

walked away with $43,450 net profit.

i know what you’re thinking..

""wtf you make it sound so easy"" right?

but here’s the thing:

this isn’t luck. this isn’t magic. It's a system!

a way of seeing opportunity that most people scroll right past.

take a second and think..

how many listings do you ignore every day?
how many deals do you assume someone else already grabbed?
or think you need cash?
experience?
connections?

wrong.

what you need is to understand how this really works.

how to find deals. talk to sellers. structure offers.

because once you see it, you can’t unsee it.

like putting on glasses for the first time: suddenly, everything’s clear.

you start spotting deals everywhere.

at gas stations. on lunch breaks. at home depot. on facebook. through friends and family. just scrolling your phone.

25-minute phone calls turn into 5-figure paydays.

but only if you know what to say.

only if you understand what sellers really want.

only if you can spot the difference between a dead end and a goldmine.

this deal?

it was sitting there for anyone. literally anyone could have called.
but they didn’t.

you know why?

because they don’t know what i know.

they haven’t trained their brain to see it.

they haven’t learned the language of opportunity.

$43k from one phone call.

one conversation.

one person willing to actually talk to another human being.

no fancy tricks. no complicated strategies. just seeing value where others see problems.

solving those problems and having the guts to make the call.

this changes how you see money forever.

you stop thinking in hourly wages.

you start thinking in value creation.

you stop waiting for permission.

and you start taking action.",god I love dolly parton,n/a,,,,,
zavala,published,"July 25, 2025 at 3:16 PM",ekFgbI6S,https://drive.google.com/uc?id=1OMG5ws6lTjGfoyjenYJ7woeLF8hGlC-H&export=download,I dreamed of traveling,"i used to sit in my tiny apartment staring at travel blogs until 3am. scrolling through pictures of places i couldnt even pronounce. dreaming about a life that felt impossible.

back in 2016 i was broke. like really broke. the kind where you check your bank balance and immediately regret it. i remember counting coins for gas money. sleeping on couches. eating ramen for the third day straight.

2018 hit different though. zero dollars. zero hope. everyone around me had real jobs with benefits and retirement plans. meanwhile i was chasing some crazy dream that nobody understood. my parents stopped asking how i was doing. friends started avoiding my calls. probably thought id ask for money again.

2019 was the year i almost quit. almost. people gave up on me left and right. told me to be realistic. get a normal job. stop dreaming so big. there were nights i laid awake wondering if they were right. maybe i was just fooling myself.

but something inside me refused to die. this tiny voice that whispered keep going. just one more day. one more try. one more chance.

2020 came and while the world was falling apart i was quietly building. learning. growing. failing forward. nobody saw the late nights. the rejections. the moments i cried in my car. but i kept showing up.

then 2023 happened. my real estate business hit 7 figures. bought two more companies. suddenly the same people who doubted me were asking for advice. funny how success changes things.

2025 brought the best plot twist. married my best friend. someone who saw me at my lowest and still believed. we travel now. not because we have to wait until were 65. but because we decided freedom doesnt have a retirement age.

im writing this from a beach i used to stare at on my phone screen. surrounded by strangers who became friends. creating memories i used to only dream about.

your future self is waiting for you to make that first move. stop telling yourself youll do it someday. stop waiting for permission. stop thinking you need to have it all figured out.

i started with nothing but refused to end with regrets. and if i could tell that broke girl from 2016 one thing it would be this...

youre going to make it. but only if you start today.",freedom shouldn't wait. you shouldn't either.,freedom shouldn't wait. you shouldn't either.,n/a,,,,,
matt,published,"July 25, 2025 at 4:45 PM",D0HOaq12,https://fassrytpmwgxwxrrnerk.supabase.co/storage/v1/object/public/reels//D0HOaq12.mov,do it because you can,i keep thinking about this thing my therapist said last week. she was talking about perspective or whatever and she goes imagine someone your exact age somewhere in the world who knows they only have 24 hours left. and i was like okay dark but go on. she said they would give anything ANYTHING for your tuesday. your boring tuesday where you hit snooze three times and complained about traffic and felt guilty about eating cereal for dinner. they would take your tuesday with the annoying coworker and the cancelled plans and the pile of laundry you've been avoiding. they would take it in a heartbeat. and i haven't stopped thinking about it since. like yesterday i was literally paralyzed on my couch because i couldn't decide if i should go to the gym or clean my apartment or work on that project i've been putting off. just stuck. doing nothing. wasting hours because i couldn't pick the perfect thing to do. and then i remembered what she said. somewhere someone is running out of hours. and here i am just letting mine tick by because i'm waiting to feel ready or motivated or whatever. so i went to the gym in my mismatched socks. did like 20 minutes on the treadmill. came home and cleaned exactly one corner of my apartment. not the whole thing just one corner. opened my laptop and wrote one paragraph for that project. probably the worst paragraph ever written but who cares it exists now. and the whole time i felt awkward and unmotivated and honestly kind of embarrassed by how little i was doing. but i did it. because the person with 24 hours left would have done it. they would have taken my messy imperfect attempt at living and been grateful for it. they wouldn't have cared that i was scared or confused or doing it all wrong. they just would have been happy to have the chance. so now when i'm stuck when i'm scared when i don't know what to do when everything feels pointless i just think about them. the person who would kill for my wasted time. and it doesn't make everything magically better but it makes me move. do it sad. do it angry. do it badly. do it anyway. because somewhere someone can't and you can. that's literally the only reason you need. you know what the really messed up part is though,"Picture someone your exact age. Somewhere out there. And they’ve just been told... they’ve got 24 hours left.

""nice! thanks for the existential crisis, Ben!""

but really stop and think about it. that person would give ~anything~ for your Tuesday.

Your regular, boring Tuesday. 

The one where you hit snooze three times, flipped someone off in traffic, and had breakfast for dinner because you could.

They’d take that day and they’d be thrilled.

I haven’t stopped thinking about that since I first heard it.

Yesterday, I was just stuck. locked on the couch.

In any otherwise hectic day I was laying there and couldn’t decide.. gym? clean? review more deals? 

I ended up doing none of it. wasted the rest of the day because I was tired. then I remembered... somewhere, someone is running out of hours

The person with 24 hours left wouldn’t have cared that it wasn’t perfect. they’d be pumped to have anything. even a lazy half Tuesday like mine.

Now every time I get stuck I think about this, awful as it may sound.

and it doesn’t magically fix everything, but it gets me to move.

Do it sad. Do it tired. Do it with mismatched socks and a bad attitude. Do it anyway. 

because somewhere, someone can’t. 

and you can.

and honestly.. that’s the only reason you need.",,,,,,,
matt,published,"July 25, 2025 at 4:54 PM",RLd6gEuA,https://fassrytpmwgxwxrrnerk.supabase.co/storage/v1/object/public/reels//RLd6gEuA.mp4,most people quit,ok so picture this. youre standing in front of the mirror at 5am again. third week straight. your body hurts in places you didnt know existed and that voice in your head is getting louder. the one that says maybe youre not cut out for this. maybe everyone else just has something you dont. i get it. i really do. because heres what nobody talks about. right before the breakthrough theres always this moment. this specific kind of awful where everything feels harder than it should. where you question every decision that brought you here. its like learning to ride a bike and youre in that wobbling phase where you cant quite balance but youre not falling either. just suspended in this uncomfortable middle ground. most people bail right here. they think the discomfort means theyre on the wrong path. but what if i told you this is exactly where youre supposed to be. think about it. a butterfly literally dissolves into soup before it transforms. soup. like complete cellular breakdown. if that butterfly could think it would probably be having an existential crisis in that cocoon. but the breakdown is the point. its not a detour from the transformation. it IS the transformation. youre not doing it wrong. youre just in the messy middle. the part instagram doesnt show. the part where champions are actually made. not in the victory lap but in the thousandth rep when nobody's watching. in the moment you choose to show up even though every fiber of your being wants to quit. thats where the magic lives. so if youre reading this at rock bottom. if youre convinced youre behind or broken or just not built for this. remember that diamonds form under pressure. muscles grow from being torn apart. and sometimes the only way out is through. the fact that its hard doesnt mean youre weak. it means youre doing something that matters. something that will change you. and change was never meant to be comfortable. tomorrow youll wake up and face that mirror again. and you'll have a choice. you always do. but now you know the secret. that feeling like you want to quit? its not a stop sign. its a sign youre closer than youve ever been. the question is...,,,,,,,,
matt,published,"July 25, 2025 at 5:01 PM",OxaVcrZl,https://fassrytpmwgxwxrrnerk.supabase.co/storage/v1/object/public/reels//OxaVcrZl.mov,pair of shoes,"so i was talking to my friend sarah the other day and she was stressed about this huge presentation at work. she kept saying she'd been praying for it to go perfectly. and it reminded me of something my grandma used to say.

if you ask god to win a marathon he'll send you a pair of shoes not a medal.

i think about that a lot. like really think about it.

because we're always asking for the finish line aren't we? the promotion. the perfect relationship. the dream house. the success story.

but what if the answer to our prayers isn't the thing itself. what if it's the tools to get there.

sarah wanted her presentation to blow everyone away. but instead of a magical perfect performance she got something else. her laptop crashed the night before. forced her to rebuild everything from scratch. made her know that content inside and out.

she didn't get the medal. she got the shoes.

and honestly that's harder to accept sometimes. because shoes mean you still have to run. shoes mean blisters and sweat and maybe not finishing first. shoes mean the work is yours to do.

but here's what i've learned. when you get the shoes instead of the medal you become someone different. someone who knows they can run 26.2 miles. someone who earned every single step.

my grandma ran exactly one marathon in her life. she was 67. crossed that finish line dead last with a huge smile on her face. they were packing up the cones when she came through.

but she wore those beat up running shoes to church every sunday after that. like they were made of gold.

because sometimes the gift isn't the destination. it's becoming the person who can get there.

sarah killed that presentation by the way. not because she was given confidence. but because she built it. step by step. slide by slide.

and now i'm looking at my own prayers differently. maybe i've been asking for medals this whole time. maybe what i really need is just the right pair of shoes.

the thing is once you have the shoes you realize something else...",,,,,,,,
matt,published,"July 25, 2025 at 5:02 PM",GIzV08rX,https://fassrytpmwgxwxrrnerk.supabase.co/storage/v1/object/public/reels//GIzV08rX.mov,love the life,i used to think loving your job was everything. spent years chasing that perfect career that would make me jump out of bed every morning. you know what i mean right. that job that feels more like play than work. the one everyone tells you to find. follow your passion they said. do what you love and youll never work a day in your life they said. but heres what they dont tell you. sometimes the job is just the job. and thats okay. really okay. not settling okay but actually truly okay. because maybe the point isnt to love every spreadsheet or meeting or deadline. maybe the point is what happens at 5pm. or 6. or whenever you close that laptop. its the dinner with friends on a random tuesday because you can afford to pick up the check without checking your bank account first. its the weekend trip you book without waiting for a sale. its the gym membership you actually use because youre not too exhausted to care about your body anymore. its sending money home without doing math first. its the therapy sessions that dont feel like a luxury anymore. its fixing your car right when it breaks instead of praying it holds together one more month. look i get it. we all want meaning. purpose. that feeling of contributing something real to the world. and some people find that in their 9 to 5. good for them honestly. but for others the meaning comes from what the paycheck makes possible. the life outside those office walls. the freedom to choose. to breathe. to not worry about every single dollar. to actually live instead of just survive. and before you think im saying to sell your soul for money thats not it. at all. im saying sometimes the job that pays well but doesnt set your soul on fire might be exactly what you need. because it lets you set your actual life on fire. in the good way. the way where you have energy left for your art. your family. your hobbies. yourself. the way where sunday nights dont fill you with dread because even though monday means work it also means you're building something. not in the office. but in your actual life. the one that happens after the workday ends. the one where you can finally afford to be who you really are. yeah the job matters. but what matters more is that it gives you the resources to build the life you actually want. and if that means showing up doing good work collecting your check and saving your passion for after hours then maybe thats not settling. maybe thats just being smart about what really matters. because at the end of the day nobody lies on their deathbed wishing they loved their job more. but they might wish they had loved their life more. and sometimes loving your life means accepting that work is just work. the meaningful part happens after you clock out,,,,,,,,
zavala,ship,"August 2, 2025 at 1:27 AM",CpiRY0i6,https://fassrytpmwgxwxrrnerk.supabase.co/storage/v1/object/public/reels//CpiRY0i6.mp4,never met a man who,"i've never met a man who outworked his self-doubt and didn't eventually win. let me tell you something about winners. they dont start with confidence. they start with fear.

met this guy at a coffee shop yesterday. shaking hands, sweating through his shirt. about to pitch his business idea to an investor. told me he'd been rejected 47 times already.

""why keep going?"" i asked.

he pulled out this worn notebook. pages and pages of nos. but after each rejection, he'd written what he learned. what he'd do different next time.

that's when it hit me.

the winners i know? they all started like this. terrified. doubting every move. but they had one thing the quitters didn't.

they showed up anyway.

my first business? failed spectacularly. lost everything. sat in my car crying, wondering if i was fooling myself. but i went to work the next day. and the next.

fear never left. it just got quieter.

see, self-doubt is like a shadow. the more light you shine, the smaller it gets. and work? work is the light.

that guy in the coffee shop? he's gonna make it. not because he's confident. but because he's still showing up after 47 nos.

and that notebook of his? that's not a record of failure...","I've never met a man who outworked his self-doubt and didn't eventually win.

winners dont start with confidence. they start with fear.

fear that they're not good enough. fear that everyone will see right through them. fear that theyll fail and prove all the doubters right.

but here's what separates them from everyone else stuck in their head:

they show up anyway.

i've never met a man who didn't start messy who didn't wait for perfect and didn't eventually win.

you know why most people never make it? theyre waiting. 

waiting for the perfect moment, a complete plan or just the right feeling.

meanwhile the guy already winning is the one who's already started.

yeah his first attempt looks like garbage... but hes moving.

the man that shows up everyday. thats the man who wins.

when its raining. when he's tired. when nobody believes in him. when he doesn't even believe in himself.

you can spot him in any room. he's not the one dominating conversations. he's not the one posting every small win. he's not the one telling everyone about his big plans.

because commitment doesn't need an audience or validation.

tomorrow when your alarm goes off and your mind starts listing all the reasons why today isn't the day, why youre not ready or why you should wait.

remember this:

somewhere right now theres a man with more doubt than you. less talent than you. worse circumstances than you.

...and hes already started.

the only difference between where you are and where you want to be is the distance you're willing to travel while feeling completely unqualified to make the journey.",the only difference between where you are and where you want to be is the distance you're willing to travel while feeling completely unqualified to make the journey.,n/a,,,,,
matt,ship,"August 3, 2025 at 9:15 PM",6AaoVcvO,https://fassrytpmwgxwxrrnerk.supabase.co/storage/v1/object/public/reels//6AaoVcvO.mov,you are what you eat.. but you are also..,you know how they say you are what you eat? well its not just about food. its everything. the music pumping through your headphones while you scroll at 2am. the friends who either lift you up or drain your battery. the hobbies that light you up inside or just kill time. where you spend your saturdays. what you do when nobodys watching. all of it adds up. its like your brain is this sponge soaking up everything around you whether you realize it or not. and before you know it you start becoming whatever youre consuming. hang around negative people long enough and watch how your thoughts shift. listen to the same sad songs on repeat and see how your mood follows. spend every weekend at the same dead end spots doing the same dead end things and guess what happens to your life. but flip it around. surround yourself with people who are actually doing something. fill your playlist with sounds that make you feel alive. pick up hobbies that challenge you instead of numb you. visit places that expand your mind not shrink it. because heres the thing nobody tells you. you dont just become what you eat. you become what you consume in every single way. and most of us are on autopilot just taking in whatever comes our way without thinking twice. so maybe its time to check your diet. not just whats on your plate but whats in your entire life. because if you keep feeding yourself junk in any form...,,,,,,,,
matt,ship,"August 8, 2025 at 1:11 AM",LD8OH573,https://fassrytpmwgxwxrrnerk.supabase.co/storage/v1/object/public/reels/copy_B2FDD23E-4B92-4386-9F2D-B17BEFAFC9F9.mov,you will never regret the hard work you put in..,you know that feeling when youre scrolling at 2am knowing you should be sleeping? yeah me too. last week i almost skipped my morning workout. my bed was warm. my alarm was annoying. every part of me wanted to hit snooze. but then i remembered something my coach told me years ago. she said the pain of discipline weighs ounces but the pain of regret weighs tons. so i got up. did the workout. felt like garbage for the first ten minutes. but then something shifted. by the end i was buzzing with energy. walked into work feeling unstoppable. meanwhile my coworker rolled in late looking exhausted. she told me she stayed up watching netflix till 3am. felt awful all day. kept saying she wished she'd gone to bed earlier. and thats when it hit me. we never regret the hard work we put in. the early mornings. the late nights grinding. the uncomfortable conversations. the risks we take. but we always regret the time we waste. the opportunities we let slip. the excuses we make. every single time. so now when i dont feel like doing something i know i should do i ask myself one question. will i regret this tomorrow? if the answer is yes i do it anyway. because heres what nobody tells you about regret...,,,,,,,,
